"","Project","Date","Site","Species","BBL.ID","Nanotag","Age","Fat","Tarsus..mm.","WC","Bill.Length..mm.","Exposed.Culmen..mm.","Mass","Capture.Time","Bleed.Time","HCT","FM"
"343","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56286",NA,"AHY","3",22.5,100,15.8,19.6,33.7,"1044",NA,NA,11.4113
"344","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56287","276","AHY","1",21.4,96,13.8,17.5,25,"1048",NA,NA,3.9649
"345","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56288",NA,"AHY","1",21.4,95,16.8,20.2,27.4,"1048",NA,NA,6.6783
"346","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56289",NA,"AHY","1",21.6,92,17.8,20.7,30.9,"1103",NA,NA,11.1185
"347","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56290",NA,"AHY","0",21.8,96,15.5,18.6,24.8,"1103",NA,NA,3.7649
"348","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56291",NA,"AHY","1",21.9,97,18.9,22.8,25.6,"1048",NA,NA,4.2515
"349","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56292",NA,"AHY","1",20.7,97,17.3,21.3,25.9,"1048",NA,NA,4.5515
"350","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56293","65","AHY","1",20.8,94,16.2,19.9,27.4,"900",NA,NA,6.99169999999999
"351","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56294","73","AHY","1",21.7,94,15.5,20.2,25.4,"900",NA,NA,4.99169999999999
"352","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56295","74","AHY","2",21.1,93,14.1,17.8,27.5,"900",NA,NA,7.4051
"353","Holbt - Popham","8/6/2015","Popham Beach","SEPL","2571-56296",NA,"AHY","2",23.4,122,8.1,12.1,50.4,NA,NA,NA,NA
"354","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56297","66","AHY","2",21.5,94,16.9,20.8,29.7,"1704",NA,NA,9.2917
"355","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56298","61","AHY","1",21.3,94,17.4,20.8,28.7,"1704",NA,NA,8.2917
"356","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56299","60","AHY","2",21.5,96,15.5,19.1,25.4,"1704",NA,NA,4.3649
"357","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56300","64","AHY","2",20.8,92,15.5,19,25.4,"1704",NA,NA,5.6185
"358","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56301","75","HY","1",22.4,95,15.6,18.8,24,"900",NA,NA,3.2783
"359","Holbt - Popham","8/10/2015","Popham Beach","SESA","2571-56302","71","AHY","1",19.4,91,14,17,26.3,"900",NA,NA,6.8319
