"","Project","Date","Site","Species","BBL.ID","Nanotag","Age","Fat","Tarsus..mm.","WC","Bill.Length..mm.","Exposed.Culmen..mm.","Mass","Capture.Time","Bleed.Time","HCT","FM"
"284","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56227","188","HY","1",21.57,99.5,16.99,20.16,29,"09:10",NA,NA,6.86799999999999
"285","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56228","190","HY","2",21.4,96,16.91,20.7,33,"09:24",NA,NA,11.9649
"286","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56229","186","HY","2",22.71,97,15.57,19.52,31,"10:02",NA,NA,9.6515
"287","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56230","416","AHY","1",21.45,101,17.17,20.84,27.8,"10:02",NA,NA,5.1979
"288","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56231","407","AHY","1",22,99.5,14.69,17.11,30,"10:02",NA,NA,7.86799999999999
"289","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56232","182","HY","1",22.27,100.5,19.6,22.27,27,"10:02",NA,NA,4.5546
"290","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56233",NA,"AHY","3",22.33,99,16.47,19.54,37,"10:02",NA,NA,15.0247
"291","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56234","181","HY","0.5",23.36,96.5,14.92,18.26,24,"10:02",NA,NA,2.8082
"292","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56235","187","HY","0.5",22.65,102.5,17.56,20.88,25,"10:02",NA,NA,1.9278
"293","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56236","29","HY","3",22.29,98,16.32,19.49,31,"10:02",NA,NA,9.3381
"294","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56237","410","HY","2",21.28,99.5,18.06,21.09,27,"10:02",NA,NA,4.86799999999999
"295","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56238","408","HY","3",22.1,99,18.28,20.96,32,"10:02",NA,NA,10.0247
"296","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56239","415","AHY","2",21.87,97,16.65,20.09,33,"10:02",NA,NA,11.6515
"297","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56240","27","AHY","1",22.29,99,16.13,18.84,29,"10:02",NA,NA,7.0247
"298","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56241",NA,"AHY","0.5",19.87,96,15.31,17.72,26,"10:02",NA,NA,4.9649
"299","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56242",NA,"HY","3",21.11,96.5,14.75,17.83,35,"10:02",NA,NA,13.8082
"300","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56243","413","HY","1",22.34,98,16.34,19.44,27,"10:02",NA,NA,5.3381
"301","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56244","28","HY","1",22.22,101.5,17.21,20.06,25,"10:02",NA,NA,2.2412
"302","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56245",NA,"AHY","2",22.44,99,15.57,18.96,28,"10:02",NA,NA,6.0247
"303","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56246",NA,"HY","0.5",21.79,91.5,14.17,17,25,"10:02",NA,NA,5.3752
"304","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56247",NA,"HY","2",22.48,99,17.86,21.42,27,"10:02",NA,NA,5.0247
"305","Holbt - Addison","08/19/2014","Addison-LOWER WASS COVE","SESA","2571-56248",NA,"HY","0.5",21.81,96.5,16.96,20.22,28,"10:02",NA,NA,6.8082
"306","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56249",NA,"HY","4",22.09,99.5,17.68,20.39,33,"11:12","11:18",0.5557,10.868
"307","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56250","192","HY","2",20.88,95,13.14,16.99,28,"11:12","11:21",0.4716,7.2783
"308","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56251","195","HY","2",20.54,95.5,15.07,17.15,27,"11:12","11:28",0.4921,6.1216
"309","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56252","196","HY","3",21.1,93.5,16,18.75,29,"11:12","11:34",0.4813,8.7484
"310","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56253",NA,"HY","3",22.17,97,15.74,18.29,33,"11:12","11:40",0.5472,11.6515
"311","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56254",NA,"HY","4",21.34,96.5,17.56,20.21,32,"11:12",NA,NA,10.8082
"312","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56255","194","HY","3",22.94,94,14.92,17.35,31,"11:12",NA,NA,10.5917
"313","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56256","193","HY","1",22.54,99,16.38,18.58,27,"11:12",NA,NA,5.0247
"314","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56257",NA,"HY","6+",21.89,101.5,17.96,21.58,41,"11:12",NA,NA,18.2412
"315","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56258","185","HY","2",22.01,93.5,14.74,16.75,27,"11:12",NA,NA,6.7484
"316","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56259",NA,"HY","3",22.41,93.5,15.76,19.35,33,"11:12",NA,NA,12.7484
"317","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56260","191","HY","2",21.54,96.5,15.74,19.06,30,"11:12",NA,NA,8.8082
"318","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56261","183","HY","3",21.67,96.5,14.73,18.3,31,"11:12",NA,NA,9.8082
"319","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56262",NA,"HY","6",22.08,96.5,15.69,18.25,31,"11:12",NA,NA,9.8082
"320","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56263",NA,"HY","2",21.06,93,14.27,17.62,34,"11:12",NA,NA,13.9051
"321","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56264",NA,"HY","4",21.65,91.5,15.65,17.72,35,"11:12",NA,NA,15.3752
"322","Holbt - Addison","09/10/2014","Addison-NARROWS ISLAND LEDGE","SESA","2571-56265",NA,"HY","4",20.8,95.5,15.84,19.54,32,"11:12",NA,NA,11.1216
"323","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56266",NA,"AHY","4",23.5,97,17.4,21.1,34,"1704",NA,NA,12.6515
"324","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56267","63","AHY","2",21.5,95,18.3,22.7,30.1,"1704",NA,NA,9.3783
"325","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56268",NA,"AHY","2",22.8,96,16.3,20,30.2,"1704",NA,NA,9.1649
"326","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56269","62","AHY","2",20.3,94.5,15.5,18.9,30.1,"1704",NA,NA,9.535
"327","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56270","68","AHY","2",22.9,98,17.9,22.9,27.6,"1704",NA,NA,5.9381
"328","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56271","69","AHY","2",21.1,92,13.8,17.6,29,"1704",NA,NA,9.2185
"329","Holbt - Popham","8/6/2015","Popham Beach","SEPL","2571-56272",NA,"AHY","2",20.5,94,15.3,19,33.1,"1704",NA,NA,NA
"330","Holbt - Popham","8/6/2015","Popham Beach","SEPL","2571-56273",NA,"AHY","1",25.6,123,7.8,12.8,58.7,"1704",NA,NA,NA
"331","Holbt - Popham","8/6/2015","Popham Beach","SEPL","2571-56274",NA,"AHY","1",23.9,125,8,12.4,43.6,NA,NA,NA,NA
"332","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56275",NA,"AHY","4",22,99.5,17.8,22,37.5,NA,NA,NA,15.368
"333","Holbt - Popham","8/6/2015","Popham Beach","SEPL","2571-56276",NA,"AHY","1",24.8,125.5,8.7,14,42.7,NA,NA,NA,NA
"334","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56277","67","AHY","0.5",20.1,94,15.1,18.3,22,NA,NA,NA,1.5917
"335","Holbt - Popham","8/6/2015","Popham Beach","SESA","2571-56278","70","AHY","1",20.4,96,17.9,21.6,28.4,NA,NA,NA,7.3649
"336","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56279","501","AHY","2",21.8,98.5,16.9,20.3,28.2,"1012",NA,NA,6.3814
"337","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56280",NA,"AHY","3",22.7,97,16.6,20.5,34.4,"1024",NA,NA,13.0515
"338","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56281","505","AHY","1",20.2,95,14.7,18.2,29.8,"1035",NA,NA,9.0783
"339","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56282","506","AHY","0.5",20.3,97,13.8,17.4,22.3,"1040",NA,NA,0.951499999999999
"340","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56283","274","AHY","1",21,97,16.1,19.7,28.2,"1044",NA,NA,6.8515
"341","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56284","275","AHY","0",21.8,97,15.7,18.8,24,"1044",NA,NA,2.6515
"342","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","SESA","2571-56285",NA,"AHY","3",21,90,14.8,18.5,34.7,"1044",NA,NA,15.5453
