BBL.ID,Date,Year,Proj,Location,Species,Age,Mass,WC ,EC,Tarsus,Culmen,Fat,Nanotag,Julian
2461-15010,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,35.1,95,19.1,20.5,14.6,3,NA,219
2461-15009,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,38.9,98,21.9,20.8,17.6,2,NA,219
2461-15011,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,38.4,98,21.6,21.7,18.1,3,NA,219
2461-15013,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,32.1,96,20.3,20.5,15.9,2,NA,219
2461-15014,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,36.1,98,20.8,21.5,17,2,NA,219
2461-15015,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,35.3,96,21.5,21.4,18,2,NA,219
2461-15016,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,28.2,96,20.5,21.6,16,2,447,219
2461-15018,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,34.7,97,18.8,21.2,15.1,2,NA,219
2461-15019,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,36.3,96,19.7,21.6,15.8,2,NA,219
2461-15017,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,31,95,18.8,21.6,15.5,2,NA,219
2461-15020,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,32.3,97,21.3,23,18.7,2,NA,219
2461-15021,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,29.9,95,17.5,20.1,13.9,1,448,220
2461-15025,08/08/2014,2014,OBrien,Oxcart,SESA,NA,32,88,19.9,21.4,15.2,2,NA,220
2461-15026,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,33.5,94,19.3,22,15.5,2,NA,220
2461-15024,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,27.9,98,19.5,21.9,15.4,1,446,220
2461-15023,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,34.9,95,20.7,22.6,17,2,NA,220
2461-15027,08/08/2014,2014,OBrien,Oxcart,SESA,NA,34.6,99,22.1,22.2,19.1,2,NA,220
2461-15029,08/08/2014,2014,OBrien,Oxcart,SESA,NA,34.7,96,20.1,21.74,16.1,1,NA,220
2461-15032,08/08/2014,2014,OBrien,Oxcart,SESA,NA,29.3,93,19.6,20.7,15.5,2,NA,220
1461-15028,08/08/2014,2014,OBrien,Oxcart,SESA,NA,34.4,96,19.2,21.1,15.7,2,NA,220
2461-15030,08/08/2014,2014,OBrien,Oxcart,SESA,NA,33.7,99,20.3,21.8,15.7,2,NA,220
2461-15031,08/08/2014,2014,OBrien,Oxcart,SESA,HY,27.3,96,22.4,21,18.3,2,454,220
2461-15034,08/08/2014,2014,OBrien,Oxcart,SESA,HY,25.8,95,23.4,22.5,19.1,1,452,220
2461-15033,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,25.7,96,18.7,21.1,15.1,2,453,220
2461-15039,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,28.3,94,18.9,23.3,15.2,1,449,220
2461-15038,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,23.1,90,18.9,21.1,14.6,1,456,220
2461-15041,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,25.7,95,18.8,21.4,15.2,2,NA,220
2461-15035,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,26.3,95,20.8,21.5,16.3,1,450,220
2461-15036,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,29.2,95,21,21.3,16.7,1,455,220
2461-15037,08/08/2014,2014,OBrien,Oxcart,SESA,AHY,29.5,96,21.6,22.6,17.6,1,443,220
2461-15040,09/10/2014,2014,OBrien,Oxcart,SESA,HY,29.7,91,17.8,21.6,14.1,2,457,253
2461-15043,09/10/2014,2014,OBrien,Oxcart,SESA,HY,38.7,102,21.6,21.9,17.3,3,NA,253
2461-15042,09/10/2014,2014,OBrien,Oxcart,SESA,HY,35.1,95,18.9,20.5,15.6,2,NA,253
2461-15044,09/10/2014,2014,OBrien,Oxcart,SESA,HY,33.7,94,19.4,21.2,16,2,NA,253
2461-15047,09/10/2014,2014,OBrien,Oxcart,SESA,HY,35.2,97,19.5,21.3,15.7,3,NA,253
2461-15045,09/10/2014,2014,OBrien,Oxcart,SESA,HY,35.6,97,19.5,22.8,15,3,NA,253
2461-15046,09/10/2014,2014,OBrien,Oxcart,SESA,HY,30.2,95,18.4,20,14.8,2,NA,253
2461-15049,09/10/2014,2014,OBrien,Oxcart,SESA,HY,30.7,100,21.6,21.6,17.9,2,NA,253
